title,category,soc,median_pay_annual,entry_education,num_jobs_2024,exposure,exposure_rationale,karpathy_normalized,openai_beta,openai_alpha,human_beta,anthropic_observed,frey_osborne_prob,theory_reality_gap,llm_shift,consensus_score,n_sources,disagreement
Accountants and auditors,business-and-financial,13-2011,81680.0,Bachelor's degree,1579800.0,8,"Accountancy is a fundamentally digital occupation centered on data analysis, regulatory compliance, and reporting, all of which are highly susceptible to AI and robotic process automation. While high-level advisory roles and complex forensic audits require human judgment and relationship management, the core tasks of data organization, tax computation, and anomaly detection are increasingly being automated, significantly increasing worker productivity and restructuring the entry-level labor market.",0.8,0.56,0.12,0.52,0.3478,0.94,0.21220000000000006,-0.1399999999999999,0.5692666666666667,3,0.45220000000000005
Actors,entertainment-and-sports,27-2011,48526.0,"Some college, no degree",57000.0,7,"While live theater and physical presence on set remain human-centric, the occupation is highly exposed due to AI's ability to generate digital likenesses, synthesize voices, and replace background extras or voiceover artists. The core work product—audio and video—is increasingly susceptible to generative AI, leading to significant industry restructuring and potential displacement in digital media productions.",0.7,0.1875,0.15625,0.15625,0.1011,0.37,0.0864,0.32999999999999996,0.3295333333333333,3,0.5989
Actuaries,math,15-2011,125770.0,Bachelor's degree,33600.0,8,"Actuarial work is fundamentally digital, involving the analysis of large datasets, statistical modeling, and financial forecasting—all areas where AI and machine learning excel. While the profession requires high-level human judgment and the ability to explain complex risks to stakeholders, the core technical tasks of data compilation and probability estimation are highly susceptible to automation and significant productivity gains through AI.",0.8,0.5,0.0,0.537037037037037,0.0539,0.21,0.4461,0.5900000000000001,0.45130000000000003,3,0.7461
Administrative services and facilities managers,management,11-3010,106880.0,Bachelor's degree,422600.0,5,"This occupation is a hybrid of digital knowledge work and physical site management. While AI can significantly automate administrative tasks like recordkeeping, supply procurement, and energy pattern analysis, the role requires a physical presence to inspect facilities, oversee manual labor (janitors, repair workers), and manage real-world safety and security compliance.",0.5,,,,,,,,0.5,1,
Adult basic and secondary education and ESL teachers,education-training-and-library,25-3011,59950.0,Bachelor's degree,40900.0,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",0.7,0.4044117647058823,0.1764705882352941,0.4264705882352941,0.0636,0.19,0.3408117647058823,0.51,0.38933725490196075,3,0.6364
Advertising sales agents,sales,41-3011,61460.0,High school diploma or equivalent,103700.0,7,"The core of this occupation involves digital knowledge work such as analyzing sales statistics, preparing media kits, and drafting contracts, all of which are highly susceptible to AI automation. While the role requires interpersonal relationship building, the shift toward programmatic advertising and AI-driven ad placement is already reducing the need for human intermediaries in the sales process, as reflected in the projected employment decline.",0.7,0.5384615384615384,0.1794871794871795,0.6923076923076923,0.1482,0.54,0.39026153846153844,0.15999999999999992,0.46222051282051285,3,0.5518
"Advertising, promotions, and marketing managers",management,,159660.0,Bachelor's degree,434000.0,8,"This occupation is predominantly digital and information-based, involving market research, data analysis, and content strategy—all areas where AI is rapidly advancing. While high-level strategic decision-making and stakeholder management provide some insulation, AI can now automate significant portions of campaign planning, creative drafting, and consumer data processing, leading to major restructuring of the role.",0.8,,,,,,,,0.8,1,
Aerospace engineering and operations technologists and technicians,architecture-and-engineering,17-3021,79830.0,Associate's degree,9300.0,5,"This occupation involves a significant amount of physical labor, such as building test facilities, installing instruments, and maintaining hardware, which provides a buffer against AI automation. However, the role also includes substantial digital tasks like recording data, running computer simulations, and calibrating systems—areas where AI is rapidly improving and can significantly enhance productivity or automate data analysis.",0.5,0.325,0.1,0.225,0.0,0.48,0.325,0.020000000000000018,0.27499999999999997,3,0.5
Aerospace engineers,architecture-and-engineering,17-2011,134830.0,Bachelor's degree,71600.0,7,"Aerospace engineering is a high-level knowledge occupation where core tasks like aerodynamic modeling, structural analysis, and propulsion design are increasingly performed using digital simulation and AI-driven optimization tools. While the role requires critical human judgment for safety, regulatory compliance, and physical inspection of prototypes, the heavy reliance on computer-aided design (CAD) and complex data analysis makes it highly susceptible to AI-driven productivity gains and task automation.",0.7,0.5714285714285714,0.2142857142857142,0.5178571428571428,0.0753,0.017,0.49612857142857136,0.6829999999999999,0.44890952380952376,3,0.6246999999999999
Agricultural and food science technicians,life-physical-and-social-science,19-4010,48480.0,Associate's degree,38900.0,4,"This occupation involves a significant amount of physical labor, such as collecting biological samples, maintaining farm equipment, and operating laboratory hardware, which provides a buffer against full automation. However, AI will heavily impact the data-heavy portions of the job, including compiling test results, analyzing chemical properties, and generating reports, making technicians more productive but potentially reducing the number of workers needed for data processing.",0.4,,,,,,,,0.4,1,
Agricultural and food scientists,life-physical-and-social-science,19-1010,78770.0,Bachelor's degree,38700.0,6,"This occupation involves a significant amount of digital knowledge work, including data analysis, research synthesis, and report writing, which are highly susceptible to AI enhancement. However, the role is anchored by physical requirements such as field sampling, laboratory experiments, and on-site inspections at farms or processing plants that AI cannot currently replicate.",0.6,,,,,,,,0.6,1,
Agricultural engineers,architecture-and-engineering,17-2021,84630.0,Bachelor's degree,1700.0,6,"Agricultural engineering is a hybrid role that combines digital design and data analysis with physical site visits and hardware testing. While AI will significantly automate core tasks like CAD modeling, environmental simulation, and precision farming data analysis, the requirement for physical oversight of construction, equipment testing in the field, and real-world troubleshooting provides a buffer against full automation.",0.6,0.4259259259259259,0.074074074074074,0.3333333333333333,0.0,0.49,0.4259259259259259,0.10999999999999999,0.3419753086419753,3,0.6
Agricultural workers,farming-fishing-and-forestry,,35980.0,See How to Become One,812600.0,3,"The core of this occupation involves physical labor, animal handling, and operating machinery in unpredictable outdoor environments, which provides a strong natural barrier to AI. While AI and robotics are increasingly used for precision agriculture and automated harvesting, the high cost of hardware and the need for manual dexterity in varied conditions mean human workers remain essential for the majority of tasks.",0.3,,,,,,,,0.3,1,
Air traffic controllers,transportation-and-material-moving,53-2021,144580.0,Associate's degree,24100.0,7,"The core work is fundamentally digital and data-driven, involving the monitoring of radar screens and the processing of complex spatial information to ensure aircraft separation. While the high-stakes nature of safety and the need for real-time human communication with pilots provide a buffer, AI and automated systems (like NextGen) are already increasing productivity and handling more traffic per controller, leading to a very low projected growth in human employment.",0.7,0.3409090909090909,0.0909090909090909,0.3068181818181818,0.0,0.11,0.3409090909090909,0.59,0.34696969696969693,3,0.7
Aircraft and avionics equipment mechanics and technicians,installation-maintenance-and-repair,,79140.0,Postsecondary nondegree award,160800.0,3,"The core of this occupation involves physical labor, manual dexterity, and real-time troubleshooting in a physical environment, which provides a strong barrier against AI automation. While AI will significantly enhance diagnostic capabilities, predictive maintenance, and the interpretation of flight data, the actual repair, assembly, and FAA-regulated physical inspections must still be performed by human technicians.",0.3,,,,,,,,0.3,1,
Airline and commercial pilots,transportation-and-material-moving,53-2010,198100.0,See How to Become One,155400.0,5,"The occupation is a hybrid of high-level digital information processing and critical physical presence. While AI and advanced automation can handle navigation, flight planning, and system monitoring, the role requires real-time human intervention for physical emergencies, complex sensory awareness in unpredictable weather, and the legal/ethical responsibility of passenger safety in the physical world.",0.5,,,,,,,,0.5,1,
Animal care and service workers,personal-care-and-service,39-2000,33860.0,High school diploma or equivalent,439400.0,2,"The core duties of this occupation are physical and require real-time presence, such as feeding, grooming, cleaning, and physically training animals. AI may assist with peripheral administrative tasks like scheduling or monitoring animal health data, but it cannot replace the manual labor or the empathetic human-animal interaction required for the job.",0.2,,,,,,,,0.2,1,
Announcers and DJs,media-and-communication,,45115.0,See How to Become One,39500.0,7,"The occupation is split between highly exposed digital work and less exposed physical work. Broadcast and radio roles are under significant threat from AI-generated voices and automated content curation, whereas live event DJs and emcees retain a physical and interpersonal barrier that is harder to automate.",0.7,,,,,,,,0.7,1,
Anthropologists and archeologists,life-physical-and-social-science,19-3091,64910.0,Master's degree,8800.0,5,"This occupation is a hybrid of physical fieldwork and digital knowledge work. While AI can significantly automate data analysis, pattern recognition in artifacts, and report writing, it cannot replace the physical requirements of excavation, site surveying, and in-person ethnographic observation.",0.5,0.4396551724137931,0.0517241379310344,0.5172413793103449,0.1354,0.0077,0.3042551724137931,0.4923,0.35835172413793104,3,0.36460000000000004
"Arbitrators, mediators, and conciliators",legal,23-1022,67710.0,Bachelor's degree,9100.0,7,"This occupation is primarily digital and information-based, involving the analysis of legal documents, evidence, and the drafting of settlement agreements—tasks where AI is rapidly achieving high proficiency. While the role requires significant interpersonal skills and emotional intelligence to manage confrontational parties, the core analytical and administrative functions are highly susceptible to AI-driven productivity gains and partial automation.",0.7,0.5,0.0967741935483871,0.3709677419354839,0.2426,0.06,0.25739999999999996,0.6399999999999999,0.4808666666666666,3,0.4573999999999999
Architects,architecture-and-engineering,17-1011,96690.0,Bachelor's degree,123600.0,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",0.7,0.4883720930232558,0.0697674418604651,0.4302325581395348,0.0784,0.018,0.40997209302325577,0.6819999999999999,0.42225736434108524,3,0.6215999999999999
Architectural and engineering managers,management,11-9041,167740.0,Bachelor's degree,212500.0,7,"This occupation is predominantly knowledge-based and digital, involving project planning, budgeting, and technical oversight that can be significantly enhanced by AI tools. While the role requires high-level human judgment, leadership, and physical site visits, the core tasks of analyzing technical data, scheduling, and coordinating complex engineering workflows are highly susceptible to AI-driven productivity gains and automation.",0.7,0.4426108374384236,0.05172413793103445,0.3307881773399014,0.0306,0.017,0.4120108374384236,0.6829999999999999,0.3910702791461412,3,0.6694
"Archivists, curators, and museum workers",education-training-and-library,25-4010,57100.0,See How to Become One,40200.0,6,"This occupation is a hybrid of digital knowledge work and physical preservation. AI will significantly automate archival tasks like cataloging, metadata generation, and electronic record management, while also assisting curators with research and exhibit design. However, the physical requirements of handling artifacts, restoring delicate items, and managing in-person public interactions provide a substantial buffer against full automation.",0.6,,,,,,,,0.6,1,
Art directors,arts-and-design,27-1011,111040.0,Bachelor's degree,135000.0,8,"Art directors work in a fundamentally digital domain where AI is rapidly advancing in image generation, layout design, and video synthesis. While the role requires high-level human judgment, leadership, and client communication, the core work product can be heavily augmented or automated by AI, significantly increasing productivity and potentially reducing the number of directors needed to oversee creative projects.",0.8,0.5,0.0689655172413793,0.4310344827586206,0.2098,0.023,0.2902,0.777,0.5032666666666666,3,0.5902000000000001
